Provider ID,Cleanliness,Nurse_com,Doc_com,Staff_responsiveness,Pain_management,Comm_medicine,Discharge_info,Care_transition,Overall_Hos_Rating,Quietness,Recomm_hos,Summary_star
50116,2,2,2,2,3,3,3,2,2,1,3,2
50118,2,3,4,3,4,4,3,3,3,2,3,3
50121,3,3,3,2,4,3,3,2,3,2,3,3
50122,2,2,2,1,2,2,3,2,2,1,2,2
50124,2,2,2,2,3,2,1,2,2,1,2,2
50125,2,2,1,2,3,2,2,2,2,1,2,2
50126,3,2,1,2,3,3,3,3,3,2,3,3
50127,3,3,3,2,3,4,3,4,3,1,3,3
50128,2,2,2,2,3,3,3,2,2,1,2,2
50129,2,3,2,2,3,3,2,3,3,2,3,3
50131,3,4,4,3,4,3,3,4,4,3,4,4
50132,2,3,2,2,3,3,3,1,3,2,2,2
50133,1,2,1,1,2,3,1,1,1,1,1,1
50135,1,1,1,1,1,1,1,1,1,1,1,1
50136,2,2,2,2,3,2,4,2,3,2,3,2
50137,3,3,3,2,4,3,2,4,4,3,4,3
50138,3,3,3,3,3,3,3,4,4,2,4,3
50139,3,3,3,2,3,3,3,4,4,3,3,3
50140,3,3,3,3,4,3,3,4,4,3,4,3
50145,4,4,4,3,3,3,3,4,4,3,5,4
50149,1,2,1,1,2,3,2,2,2,1,2,2
50150,3,3,3,2,4,4,4,3,2,2,2,3
50152,2,2,3,2,3,2,3,4,3,1,3,3
50153,2,3,3,2,3,2,2,3,3,1,3,3
50158,3,3,3,3,4,3,2,2,3,1,2,3
50159,2,2,3,2,3,2,2,3,2,1,2,2
50167,1,2,2,1,2,2,2,2,2,1,2,2
50168,3,4,3,3,4,4,4,4,5,3,4,4
50169,3,4,3,3,4,3,4,4,5,3,5,4
50174,2,2,3,2,3,2,4,2,3,1,3,3
50179,2,2,1,2,3,3,3,2,2,1,2,2
50180,3,4,3,3,3,3,3,4,4,3,4,3
50189,4,3,3,2,3,2,2,2,2,2,1,2
50191,3,2,2,1,3,3,3,2,2,1,2,2
50192,2,2,4,2,3,3,3,2,3,2,3,3
50194,3,2,3,2,3,2,3,2,3,2,2,2
50195,4,3,3,3,4,3,3,4,3,2,3,3
50197,3,4,4,3,4,3,3,4,4,3,4,4
50204,3,4,2,3,4,3,3,3,4,4,3,3
50211,3,2,3,2,3,2,2,2,3,1,2,2
50222,3,3,3,3,4,3,4,4,3,1,3,3
50224,3,3,3,2,4,3,3,4,4,3,4,3
50225,3,3,2,3,4,2,4,4,3,1,4,3
50226,2,3,2,3,3,3,2,2,3,2,2,3
50228,3,2,3,2,3,3,3,3,3,3,3,3
50230,1,2,2,2,3,2,2,1,2,2,2,2
50231,2,2,2,2,3,3,3,2,3,1,3,2
50232,2,4,3,3,4,4,5,4,4,1,4,4
50234,4,4,4,4,4,4,4,4,4,4,4,4
50235,3,3,3,2,4,2,2,3,4,2,4,3
50236,3,2,2,2,3,2,2,2,3,2,3,2
50238,3,3,3,2,3,3,3,3,4,2,4,3
50239,2,3,3,3,3,3,4,2,4,3,4,3
50242,2,2,3,2,3,2,3,3,2,1,2,2
50243,1,2,3,2,3,2,3,2,3,1,3,2
50245,1,3,2,2,3,3,2,3,3,2,3,3
50248,2,2,3,2,3,4,4,2,3,1,3,3
50254,4,4,4,4,4,4,2,4,4,2,4,4
50257,2,2,1,2,2,2,2,1,1,1,2,2
50261,2,3,3,2,3,3,3,2,3,2,2,3
50262,3,4,4,4,4,4,4,5,5,3,5,4
50272,3,3,3,3,4,3,3,3,4,2,4,3
50276,2,2,3,2,2,3,4,2,2,1,3,2
50278,3,3,3,4,4,3,3,4,4,2,4,3
50279,2,3,1,3,2,2,2,1,3,3,2,2
50280,2,3,2,2,3,3,4,3,2,1,3,3
50281,3,2,2,2,3,3,3,1,3,2,2,2
50283,3,4,3,3,4,3,4,4,4,2,4,4
50289,3,2,2,2,2,2,4,3,2,2,2,2
50290,3,3,3,2,4,2,2,3,4,3,4,3
50291,3,4,3,4,4,3,4,4,4,3,4,4
50292,1,1,1,1,1,1,2,1,1,1,1,1
50295,2,2,2,2,3,3,2,2,2,1,3,2
50296,3,2,3,2,3,3,4,2,2,2,2,3
50298,2,3,2,2,4,2,3,2,3,3,2,3
50300,1,2,3,2,3,2,3,2,2,1,3,2
50301,2,3,3,3,3,2,4,3,3,1,2,3
50305,1,2,2,1,3,2,2,2,2,1,2,2
50308,3,4,3,3,4,4,3,4,4,3,4,4
50309,2,3,3,3,3,2,2,3,3,2,4,3
50313,3,3,3,2,4,2,3,4,3,2,3,3
50315,1,2,3,2,2,2,1,2,2,1,2,2
50320,2,2,3,2,3,3,2,2,3,3,3,3
50324,3,4,3,3,4,3,3,4,4,3,4,3
50327,1,3,3,2,3,3,4,3,4,1,4,3
50329,2,2,2,2,2,2,2,2,2,1,2,2
50334,3,3,3,3,3,3,3,3,3,1,3,3
50335,2,3,3,3,3,3,4,3,3,2,3,3
50336,2,3,2,2,3,3,3,2,3,3,3,3
50342,3,2,1,2,3,2,3,3,2,1,3,2
50348,3,3,3,3,3,3,3,4,4,3,4,3
50350,3,2,2,2,2,2,2,3,2,1,2,2
50351,3,4,3,3,4,3,3,4,5,3,5,4
50352,4,4,4,4,3,4,4,4,4,3,4,4
50353,3,3,3,2,3,3,2,3,4,2,4,3
50357,4,4,4,4,4,4,5,5,5,4,5,4
50359,2,2,1,2,2,1,1,2,1,1,1,2
50360,1,2,3,2,3,2,4,2,3,1,3,2
50367,2,4,3,3,4,3,4,4,3,1,3,3
50373,2,2,3,2,2,2,2,4,3,2,3,2
50376,1,2,3,2,3,3,2,3,3,1,3,2
50378,2,2,2,1,2,2,2,1,2,1,2,2
50380,2,2,3,2,3,2,3,2,3,1,3,2
50382,3,2,2,3,3,3,3,2,3,2,3,3
50390,1,2,1,1,2,1,2,1,1,1,1,1
50393,3,2,2,2,2,2,2,2,2,1,2,2
50394,2,3,3,2,3,3,3,3,2,1,3,3
50396,3,4,4,3,4,3,3,4,4,3,5,4
50407,3,3,2,4,2,3,4,3,3,2,2,3
50411,3,3,3,3,4,3,3,3,4,3,3,3
50414,2,3,3,2,3,3,3,4,3,2,3,3
50417,2,2,1,3,2,2,2,2,1,2,1,2
50424,3,4,4,3,4,4,4,4,4,3,4,4
50425,2,2,3,2,3,2,3,3,3,1,3,3
