,,,Premature age-adjusted mortality,,,,Child mortality,,,,Infant mortality,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Drug overdose deaths - modeled,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Health care costs,Other primary care providers^,,Previous Other primary care providers data^,,Median household income,,,Children eligible for free lunch,Residential segregation - black/white,"Residential segregation - 
non-white/white",Homicides,,,Demographics,,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Costs,Other PCP Rate,Other PCP Ratio,Other PCP Rate,Other PCP Ratio,Household Income,95% CI - Low,95% CI - High,% Free Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural,
06039,California,Madera,1490,329,313,346,99,58,47,70,94,5,4,7,14,14,15,13,13,14,11,11,12,172,142,20950,14,11365,8,68,15,12.1-14.0,208,20,17,23,32,31,33,25333,30,27,32,4115,9,7,11,7647,51,1956:1,52,1932:1,43171,39512,46830,62,41,22,6,5,8,154548,27.6,12.8,5150,3.3,7028,4.5,3801,2.5,400,0.3,86766,56.1,55334,35.8,20396,14.5,13.4,15.6,51.9,49672,32.9,
06041,California,Marin,1863,183,174,192,63,30,23,38,56,3,2,4,9,9,9,10,9,10,9,9,9,887,407,30220,12,4989,2,95,12,12.1-14.0,73,4,3,5,30,29,31,21182,14,13,15,3258,6,5,7,7837,44,2248:1,44,2248:1,94549,87083,102015,21,54,35,2,1,2,260750,20.5,19.4,6723,2.6,2778,1.1,15910,6.1,669,0.3,41627,16.0,188224,72.2,10439,4.3,3.8,4.7,51.2,16457,6.5,
06043,California,Mariposa,238,317,272,363,,,,,,,,,11,10,11,11,11,11,11,11,12,13,82,2990,17,1081,6,15,28,>20,25,20,13,29,28,27,29,1842,18,15,20,283,9,7,11,7662,51,1965:1,51,1965:1,47781,43754,51808,42,,27,,,,17682,16.7,24.5,174,1.0,601,3.4,256,1.4,30,0.2,1828,10.3,14399,81.4,199,1.2,0.1,2.2,49.2,18251,100.0,
06045,California,Mendocino,1144,350,329,372,41,53,38,72,57,7,5,9,13,13,13,13,12,13,11,11,12,103,140,14090,16,6574,7,52,20,>20,107,17,14,21,30,30,31,13651,26,24,29,2172,11,9,13,6691,79,1273:1,79,1273:1,42840,39456,46224,57,57,25,6,4,8,87869,21.9,18.9,618,0.7,5535,6.3,1915,2.2,223,0.3,21174,24.1,58197,66.2,4614,5.6,4.9,6.3,50.2,39731,45.2,
06047,California,Merced,2333,338,324,352,138,43,36,50,186,6,5,7,15,15,15,13,13,13,11,11,11,181,89,43120,17,14080,6,101,13,12.1-14.0,275,15,14,17,34,33,34,43374,28,26,30,6027,7,6,9,8385,42,2378:1,42,2357:1,43818,40799,46837,69,37,30,8,7,10,266353,30.0,10.5,8464,3.2,6572,2.5,21444,8.1,1014,0.4,153161,57.5,78623,29.5,33478,14.0,13.2,14.7,49.5,36510,14.3,
06049,California,Modoc,165,439,366,512,,,,,,,,,13,12,13,13,12,13,12,12,13,,,1770,19,1452,15,,,>20,18,27,16,43,31,30,32,1362,27,24,30,262,13,10,17,7670,33,3008:1,33,3008:1,39172,35170,43174,,,26,,,,9023,20.1,23.2,96,1.1,463,5.1,108,1.2,30,0.3,1331,14.8,7006,77.6,353,4.0,2.3,5.7,49.5,6776,70.0,
06051,California,Mono,77,167,131,210,,,,,,,,,11,10,11,11,11,11,8,8,9,5,41,1930,14,1158,8,,,8.1-10.0,,,,,30,29,31,2569,27,24,30,352,12,9,15,8481,64,1555:1,64,1555:1,59181,52541,65821,39,,21,,,,13997,19.5,11.8,91,0.7,404,2.9,246,1.8,38,0.3,3900,27.9,9215,65.8,1069,8.0,5.2,10.8,46.7,6509,45.8,
06053,California,Monterey,2975,247,238,256,208,46,40,52,235,5,4,5,13,12,13,12,12,12,10,10,11,645,188,53080,13,12941,3,146,11,12.1-14.0,251,9,8,10,32,31,33,77659,31,29,33,11899,10,8,12,7581,34,2954:1,34,2954:1,57428,54949,59907,64,55,27,9,8,11,431344,26.4,12.0,11313,2.6,11567,2.7,29799,6.9,2568,0.6,247467,57.4,134402,31.2,73593,18.8,18.2,19.4,49.0,40742,9.8,
06055,California,Napa,1203,251,237,266,40,32,23,43,61,5,4,7,10,10,11,10,10,10,9,9,10,207,177,15500,11,3609,3,46,11,10.1-12.0,92,10,8,12,28,27,29,17792,21,20,23,2623,8,6,10,8229,46,2179:1,46,2179:1,71063,66047,76079,37,63,31,1,1,2,141667,21.8,16.8,2771,2.0,1751,1.2,11503,8.1,528,0.4,47708,33.7,76144,53.7,11763,9.0,8.1,9.8,50.3,18290,13.4,
06057,California,Nevada,1048,263,245,281,32,44,30,62,25,4,3,6,10,10,10,11,10,11,10,9,10,68,79,14550,15,5277,5,69,23,>20,98,14,12,17,29,28,30,11517,20,18,22,1844,10,8,12,7312,52,1939:1,53,1902:1,57118,51859,62377,30,81,23,2,1,4,98893,17.8,23.4,457,0.5,1202,1.2,1430,1.4,154,0.2,9057,9.2,84675,85.6,1431,1.5,1.0,2.0,50.8,41614,42.1,
06059,California,Orange,20563,219,216,222,914,31,29,33,1225,4,4,5,10,10,10,10,10,10,9,9,9,6709,261,349090,11,28840,1,1050,11,12.1-14.0,1247,6,6,6,31,30,31,453081,23,22,24,61200,8,7,9,10126,41,2442:1,42,2392:1,76061,74626,77496,42,46,33,2,2,2,3145515,23.0,13.1,50332,1.6,33835,1.1,617919,19.6,12154,0.4,1080321,34.3,1319559,42.0,322123,11.1,,,50.6,4315,0.1,
06061,California,Placer,3091,243,235,252,108,32,26,38,120,4,4,5,9,9,10,10,10,10,8,8,9,172,57,47570,13,7803,2,122,11,12.1-14.0,180,7,6,8,29,28,30,33319,15,14,17,5830,7,5,8,7781,47,2112:1,48,2077:1,75689,72491,78887,20,53,27,2,1,3,371694,22.9,17.8,5539,1.5,3987,1.1,26403,7.1,921,0.2,50173,13.5,275721,74.2,7401,2.2,1.9,2.4,51.2,48039,13.8,
06063,California,Plumas,325,381,333,429,,,,,,,,,12,11,12,12,12,12,12,11,12,7,41,3650,19,357,2,28,49,>20,17,12,7,20,29,28,30,2271,21,18,23,350,10,8,13,7921,32,3101:1,32,3101:1,47964,42241,53687,42,,10,,,,18606,17.2,24.7,215,1.2,589,3.2,208,1.1,26,0.1,1568,8.4,15620,84.0,201,1.1,0.3,1.9,49.8,14810,74.0,
06065,California,Riverside,19465,292,288,296,939,38,35,40,1156,5,5,6,13,12,13,12,11,12,10,10,11,4664,255,282920,13,135290,6,930,13,14.1-16.0,1666,11,10,11,36,36,37,372852,27,26,28,64968,10,9,11,9396,35,2862:1,36,2800:1,56877,55861,57893,51,39,28,4,4,5,2329271,26.3,13.2,140181,6.0,43819,1.9,158525,6.8,10088,0.4,1104970,47.4,870077,37.4,178975,8.5,,,50.3,101212,4.6,
